Rk,Year,Player,Pos,Age,AV,School,College,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
1,2010,Andrew Quarless,TE,21,9,Penn State,College Stats,4-Jun,254,4.68,32,23,112,,,Green Bay Packers / 5th / 154th pick / 2010
2,2010,Dennis Pitta,TE,24,17,BYU,College Stats,4-Jun,245,4.68,34,27,113,6.72,4.17,Baltimore Ravens / 4th / 114th pick / 2010
3,2010,Tony Moeaki,TE,22,10,Iowa,College Stats,3-Jun,245,4.69,34,18,113,7.1,4.42,Kansas City Chiefs / 3rd / 93rd pick / 2010
4,2010,Anthony McCoy,TE,22,4,USC,College Stats,4-Jun,259,4.71,35.5,19,113,6.99,4.57,Seattle Seahawks / 6th / 185th pick / 2010
5,2010,Jeron Mastrud,TE,22,1,Kansas State,College Stats,5-Jun,256,4.82,,,,,,
6,2010,Michael Hoomanawanui,TE,21,5,Illinois,College Stats,4-Jun,264,4.77,,25,,,,St. Louis Rams / 5th / 132nd pick / 2010
7,2010,Aaron Hernandez,TE,20,23,Florida,College Stats,2-Jun,245,4.64,,,,,,New England Patriots / 4th / 113th pick / 2010
8,2010,Rob Gronkowski,TE,20,82,Arizona,College Stats,6-Jun,264,4.68,,23,,,,New England Patriots / 2nd / 42nd pick / 2010
9,2010,Jermaine Gresham,TE,21,32,Oklahoma,College Stats,5-Jun,261,4.66,35,20,113,7.07,4.53,Cincinnati Bengals / 1st / 21st pick / 2010
10,2010,Jimmy Graham,TE,23,70,Miami (FL),College Stats,6-Jun,260,4.53,38.5,,120,6.9,4.45,New Orleans Saints / 3rd / 95th pick / 2010
11,2010,Garrett Graham,TE,23,7,Wisconsin,College Stats,3-Jun,243,4.71,34.5,20,112,7.09,4.35,Houston Texans / 4th / 118th pick / 2010
12,2010,Dedrick Epps,TE,21,0,Miami (FL),College Stats,3-Jun,250,4.7,,19,,,,San Diego Chargers / 7th / 235th pick / 2010
13,2010,Brody Eldridge,TE,22,0,Oklahoma,College Stats,5-Jun,261,4.72,31.5,,,,,Indianapolis Colts / 5th / 162nd pick / 2010
14,2010,Jim Dray,TE,23,4,Stanford,College Stats,5-Jun,246,4.82,,17,,,,Arizona Cardinals / 7th / 233rd pick / 2010
15,2010,Ed Dickson,TE,22,18,Oregon,College Stats,4-Jun,249,4.59,34,23,115,7.32,4.59,Baltimore Ravens / 3rd / 70th pick / 2010
16,2010,Dorin Dickerson,TE,21,1,Pittsburgh,College Stats,1-Jun,226,4.4,43.5,24,125,6.96,4.3,Houston Texans / 7th / 227th pick / 2010
17,2010,Nate Byham,TE,21,0,Pittsburgh,College Stats,4-Jun,268,4.97,29,,109,,,San Francisco 49ers / 6th / 182nd pick / 2010
18,2009,Kory Sperry,TE,23,1,Colorado State,College Stats,5-Jun,238,4.69,33.5,20,122,7,4.24,
19,2009,Richard Quinn,TE,22,0,North Carolina,College Stats,4-Jun,264,4.88,32.5,24,119,7.5,4.62,Denver Broncos / 2nd / 64th pick / 2009
20,2009,John Phillips,TE,21,2,Virginia,College Stats,5-Jun,251,4.78,33.5,20,112,6.84,4.27,Dallas Cowboys / 6th / 208th pick / 2009
21,2009,Brandon Pettigrew,TE,24,24,Oklahoma State,College Stats,5-Jun,263,4.8,33,22,118,7.12,4.37,Detroit Lions / 1st / 20th pick / 2009
22,2009,Bear Pascoe,TE,23,3,Fresno State,College Stats,5-Jun,251,4.89,26.5,,107,7.65,4.55,San Francisco 49ers / 6th / 184th pick / 2009
23,2009,Shawn Nelson,TE,23,1,Southern Miss,College Stats,5-Jun,240,4.52,33,19,115,6.96,4.46,Buffalo Bills / 4th / 121st pick / 2009
24,2009,Cameron Morrah,TE,21,2,California,College Stats,3-Jun,244,4.61,32.5,24,115,6.99,4.36,Seattle Seahawks / 7th / 248th pick / 2009
25,2009,Anthony Hill,TE,24,0,North Carolina State,College Stats,5-Jun,262,4.84,30.5,21,107,7.31,4.56,Houston Texans / 4th / 122nd pick / 2009
26,2009,Dan Gronkowski,TE,24,1,Maryland,College Stats,5-Jun,255,4.79,33,26,122,6.92,4.26,Detroit Lions / 7th / 255th pick / 2009
27,2009,Jared Cook,TE,21,54,South Carolina,College Stats,5-Jun,246,4.49,41,23,123,,,Tennessee Titans / 3rd / 89th pick / 2009
28,2009,Chase Coffman,TE,22,0,Missouri,College Stats,6-Jun,244,4.83,,,,,,Cincinnati Bengals / 3rd / 98th pick / 2009
29,2009,Travis Beckum,TE,22,2,Wisconsin,College Stats,3-Jun,243,4.61,,28,,,,New York Giants / 3rd / 100th pick / 2009
30,2008,Jacob Tamme,TE,22,22,Kentucky,College Stats,3-Jun,236,4.58,30,18,109,6.99,4.27,Indianapolis Colts / 4th / 127th pick / 2008
31,2008,Darrell Strong,TE,21,0,Pittsburgh,College Stats,4-Jun,268,4.78,25,17,110,6.86,4.36,
32,2008,Craig Stevens,TE,23,5,California,College Stats,3-Jun,254,4.59,27.5,27,114,7.07,4.31,Tennessee Titans / 3rd / 85th pick / 2008
33,2008,Tom Santi,TE,22,2,Virginia,College Stats,3-Jun,250,4.8,36,14,121,7.08,4.27,Indianapolis Colts / 6th / 196th pick / 2008
34,2008,Martin Rucker,TE,22,0,Missouri,College Stats,5-Jun,251,4.75,,20,,,,Cleveland Browns / 4th / 111th pick / 2008
35,2008,Evan Moore,TE,23,5,Stanford,College Stats,6-Jun,233,4.74,27,16,110,7.08,4.43,
36,2008,Dustin Keller,TE,23,24,Purdue,College Stats,2-Jun,242,4.53,38,26,131,6.88,4.14,New York Jets / 1st / 30th pick / 2008
37,2008,Joey Haynos,TE,23,1,Maryland,College Stats,8-Jun,259,4.87,30.5,17,123,6.92,4.42,
