Rk,Year,Player,Pos,Age,AV,School,College,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
1,2019,Jarrett Stidham,QB,22,0,Auburn,College Stats,2-Jun,218,4.81,31,,110,7.28,4.33,New England Patriots / 4th / 133rd pick / 2019
2,2019,Kyler Murray,QB,21,14,Oklahoma,College Stats,10-May,207,,,,,,,Arizona Cardinals / 1st / 1st pick / 2019
3,2019,Gardner Minshew,QB,22,10,Washington State,College Stats,1-Jun,225,4.97,33.5,,116,7.14,4.45,Jacksonville Jaguars / 6th / 178th pick / 2019
4,2019,Trace McSorley,QB,23,0,Penn State,College Stats,Jun-00,202,4.57,33,,115,7.09,4.12,Baltimore Ravens / 6th / 197th pick / 2019
5,2019,Drew Lock,QB,22,3,Missouri,College Stats,4-Jun,228,4.69,31,,112,7.03,4.12,Denver Broncos / 2nd / 42nd pick / 2019
6,2019,Daniel Jones,QB,21,9,Duke,College Stats,5-Jun,221,4.81,33.5,,120,7,4.41,New York Giants / 1st / 6th pick / 2019
7,2019,Dwayne Haskins,QB,21,3,Ohio State,College Stats,3-Jun,231,5.04,28.5,,,,,Washington Redskins / 1st / 15th pick / 2019
8,2019,Will Grier,QB,23,1,West Virginia,College Stats,2-Jun,217,4.84,34,,112,7.09,4.28,Carolina Panthers / 3rd / 100th pick / 2019
9,2019,Ryan Finley,QB,24,1,North Carolina State,College Stats,4-Jun,213,4.73,30.5,,116,7.2,4.2,Cincinnati Bengals / 4th / 104th pick / 2019
10,2018,Mason Rudolph,QB,22,3,Oklahoma State,College Stats,5-Jun,235,4.9,26,,,,,Pittsburgh Steelers / 3rd / 76th pick / 2018
11,2018,Josh Rosen,QB,21,3,UCLA,College Stats,4-Jun,226,4.92,31,,111,7.09,4.28,Arizona Cardinals / 1st / 10th pick / 2018
12,2018,Baker Mayfield,QB,22,21,Oklahoma,College Stats,1-Jun,215,4.84,29,,111,7,4.28,Cleveland Browns / 1st / 1st pick / 2018
13,2018,Kyle Lauletta,QB,22,0,Richmond,,3-Jun,222,4.81,31,,113,6.95,4.07,New York Giants / 4th / 108th pick / 2018
14,2018,Lamar Jackson,QB,21,33,Louisville,College Stats,2-Jun,216,,,,,,,Baltimore Ravens / 1st / 32nd pick / 2018
15,2018,Luke Falk,QB,23,1,Washington State,College Stats,4-Jun,215,,26.5,,103,,,Tennessee Titans / 6th / 199th pick / 2018
16,2018,Sam Darnold,QB,20,13,USC,College Stats,3-Jun,221,4.85,26.5,,105,6.96,4.4,New York Jets / 1st / 3rd pick / 2018
17,2018,Josh Allen,QB,21,17,Wyoming,College Stats,5-Jun,237,4.75,33.5,,119,6.9,4.4,Buffalo Bills / 1st / 7th pick / 2018
18,2017,Deshaun Watson,QB,21,39,Clemson,College Stats,2-Jun,221,4.66,32.5,,119,6.95,4.31,Houston Texans / 1st / 12th pick / 2017
19,2017,Mitchell Trubisky,QB,22,28,North Carolina,College Stats,2-Jun,222,4.67,27.5,,116,6.87,4.25,Chicago Bears / 1st / 2nd pick / 2017
20,2017,Cooper Rush,QB,23,0,Central Michigan,College Stats,3-Jun,228,4.93,27,,105,7.23,4.47,
21,2017,Nathan Peterman,QB,22,2,Pittsburgh,College Stats,2-Jun,226,4.82,31,,110,7.14,4.31,Buffalo Bills / 5th / 171st pick / 2017
22,2017,Patrick Mahomes,QB,21,40,Texas Tech,College Stats,2-Jun,225,4.8,30,,114,6.88,4.08,Kansas City Chiefs / 1st / 10th pick / 2017
23,2017,DeShone Kizer,QB,21,6,Notre Dame,College Stats,4-Jun,233,4.83,30.5,,107,7.4,4.53,Cleveland Browns / 2nd / 52nd pick / 2017
24,2017,Joshua Dobbs,QB,22,0,Tennessee,College Stats,3-Jun,216,4.64,33,,122,6.75,4.31,Pittsburgh Steelers / 4th / 135th pick / 2017
25,2017,C.J. Beathard,QB,23,7,Iowa,College Stats,2-Jun,219,,31,,113,,,San Francisco 49ers / 3rd / 104th pick / 2017
26,2016,Carson Wentz,QB,23,45,North Dakota State,,5-Jun,237,4.77,30.5,,118,6.86,4.15,Philadelphia Eagles / 1st / 2nd pick / 2016
27,2016,Nate Sudfeld,QB,22,1,Indiana,College Stats,6-Jun,234,5.02,29,,105,,,Washington Redskins / 6th / 187th pick / 2016
28,2016,Dak Prescott,QB,22,60,Mississippi State,College Stats,2-Jun,226,4.79,32.5,,116,7.11,4.32,Dallas Cowboys / 4th / 135th pick / 2016
29,2016,Paxton Lynch,QB,22,2,Memphis,College Stats,7-Jun,244,4.86,36,,118,7.14,4.26,Denver Broncos / 1st / 26th pick / 2016
30,2016,Cody Kessler,QB,22,5,USC,College Stats,1-Jun,220,4.89,29.5,,104,7.32,4,Cleveland Browns / 3rd / 93rd pick / 2016
31,2016,Cardale Jones,QB,23,0,Ohio State,College Stats,5-Jun,253,4.81,36,,,,,Buffalo Bills / 4th / 139th pick / 2016
32,2016,Kevin Hogan,QB,23,2,Stanford,College Stats,3-Jun,218,4.78,32.5,,113,6.9,4.31,Kansas City Chiefs / 5th / 162nd pick / 2016
33,2016,Jared Goff,QB,21,43,California,College Stats,4-Jun,215,4.82,27,,110,7.17,4.47,Los Angeles Rams / 1st / 1st pick / 2016
34,2016,Jeff Driskel,QB,22,5,Louisiana Tech,College Stats,4-Jun,234,4.56,32,,122,7.19,4.25,San Francisco 49ers / 6th / 207th pick / 2016
