Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt▼,PPR,DKPt,FDPt,VBD,PosRank,OvRank
1,Arian Foster*+,HOU,RB,24,16,13,0,0,0,0,0,327,1616,4.94,16,84,66,604,9.15,2,3,2,18,,,330,392,400,359,192,1,1
2,Michael Vick*,PHI,QB,30,12,12,233,372,3018,21,6,100,676,6.76,9,0,0,0,,0,11,3,9,,1,316,310.3,325.3,316.3,85,1,10
3,Aaron Rodgers,GNB,QB,27,15,15,312,475,3922,28,11,64,356,5.56,4,0,0,0,,0,4,1,4,,,306,304.5,322.5,315.5,75,2,17
4,Tom Brady*+,NWE,QB,33,16,16,324,492,3900,36,4,31,30,0.97,1,0,0,0,,0,3,1,1,,,301,299,307,303,70,3,20
5,Philip Rivers*,SDG,QB,29,16,16,357,541,4710,30,13,29,52,1.79,0,0,0,0,,0,7,4,0,,1,290,281.6,301.6,294.6,58,4,25
6,Peyton Manning*,IND,QB,34,16,16,450,679,4700,33,17,18,18,1,0,0,0,0,,0,3,1,0,,,288,285.8,306.8,302.8,57,5,26
7,Drew Brees*,NOR,QB,31,16,16,448,658,4620,33,22,18,-3,-0.17,0,1,1,7,7,0,9,2,0,,,273,270.2,297.2,291.7,42,6,35
8,Josh Freeman,TAM,QB,22,16,16,291,474,3451,25,6,68,364,5.35,0,0,0,0,,0,7,3,0,1,,264,258.4,273.4,264.4,33,7,43
9,Matt Ryan*,ATL,QB,25,16,16,357,571,3705,28,9,46,122,2.65,0,0,0,0,,0,4,4,0,,2,258,250.4,269.4,259.4,27,8,46
10,Matt Schaub,HOU,QB,29,16,16,365,574,4370,24,12,22,28,1.27,0,0,0,0,,0,9,3,0,,1,252,245.6,263.6,257.6,20,9,52
11,Peyton Hillis,CLE,RB,24,16,14,1,2,13,0,0,270,1177,4.36,11,77,61,477,7.82,2,8,5,13,,,244,294.9,305.9,264.4,106,2,2
12,Adrian Peterson*,MIN,RB,25,15,15,0,0,0,0,0,283,1298,4.59,12,50,36,341,9.47,1,1,1,13,,,242,275.9,282.9,257.9,104,3,3
13,Jamaal Charles*+,KAN,RB,24,16,6,0,0,0,0,0,230,1467,6.38,5,64,45,468,10.4,3,3,2,8,,,242,282.5,290.5,260,103,4,4
14,Eli Manning,NYG,QB,29,16,16,339,539,4002,31,25,32,70,2.19,0,0,0,0,,0,7,6,0,,,241,229.1,263.1,254.1,10,10,58
15,Joe Flacco,BAL,QB,25,16,16,306,489,3622,25,10,43,84,1.95,1,0,0,0,,0,9,4,1,,,239,231.3,248.3,241.3,8,11,63
16,Chris Johnson*,TEN,RB,25,16,16,0,0,0,0,0,316,1364,4.32,11,57,44,245,5.57,1,3,2,12,,,233,272.9,280.9,250.9,95,5,5
17,Matt Cassel*,KAN,QB,28,15,15,262,450,3116,27,7,33,125,3.79,0,0,0,0,,0,3,1,0,,,231,229.1,243.1,236.1,,12,
18,Carson Palmer,CIN,QB,31,16,16,362,586,3970,26,20,32,50,1.56,0,0,0,0,,0,7,3,0,,1,230,223.8,249.8,243.8,,13,
19,David Garrard,JAX,QB,32,14,14,236,366,2734,23,15,66,279,4.23,5,0,0,0,,0,11,4,5,,,229,221.3,246.3,236.3,,14,
20,Darren McFadden,OAK,RB,23,13,13,0,1,0,0,0,223,1157,5.19,7,61,47,507,10.79,3,4,3,10,,,226,267.4,276.4,243.9,88,6,8
21,Rashard Mendenhall,PIT,RB,23,16,16,0,0,0,0,0,324,1273,3.93,13,34,23,167,7.26,0,2,2,13,,,222,241,249,229.5,84,7,11
22,Jay Cutler,CHI,QB,27,15,15,261,432,3274,23,16,50,232,4.64,1,0,0,0,,0,10,6,1,,1,222,210.2,238.2,226.2,,15,
23,LeSean McCoy,PHI,RB,22,15,13,0,0,0,0,0,207,1080,5.22,7,91,78,592,7.59,2,2,1,9,,,221,297.2,304.2,258.2,83,8,12
24,Matt Forte,CHI,RB,25,16,16,0,0,0,0,0,237,1069,4.51,6,70,51,547,10.73,3,3,2,9,1,,218,264.6,272.6,239.1,80,10,14
25,Michael Turner*,ATL,RB,28,16,15,0,0,0,0,0,334,1371,4.1,12,20,12,85,7.08,0,2,2,12,,,218,225.6,230.6,219.6,80,9,15
26,Kyle Orton,DEN,QB,28,13,13,293,498,3653,20,9,22,98,4.45,0,0,0,0,,0,4,5,0,,,218,207.9,224.9,216.9,,16,
27,Ben Roethlisberger,PIT,QB,28,12,12,240,389,3200,17,5,34,176,5.18,2,0,0,0,,0,6,3,2,,,216,209.6,223.6,214.6,,17,
28,Ray Rice,BAL,RB,23,16,14,0,0,0,0,0,307,1220,3.97,5,83,63,556,8.83,1,0,,6,,,214,276.6,282.6,245.1,76,11,16
29,Brandon Lloyd*,DEN,WR,29,16,11,0,0,0,0,0,1,-18,-18,0,153,77,1448,18.81,11,0,,11,,,209,286,289,247.5,92,1,6
30,Ryan Fitzpatrick,BUF,QB,28,13,13,255,441,3000,23,15,40,269,6.73,0,0,0,0,,0,8,5,0,,,209,198.9,224.9,213.9,,18,
31,Dwayne Bowe*,KAN,WR,26,16,16,0,0,0,0,0,1,4,4,0,133,72,1162,16.14,15,1,,15,,,207,278.6,281.6,242.6,89,2,7
32,Ahmad Bradshaw,NYG,RB,24,16,11,0,0,0,0,0,276,1235,4.47,8,58,47,314,6.68,0,7,6,8,1,,205,239.9,251.9,216.4,67,12,21
