Rk,Year,Player,Pos,Age,AV,School,College,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
1,2019,Darius Slayton,WR,22,6,Auburn,College Stats,1-Jun,190,4.39,40.5,11,135,7,4.15,New York Giants / 5th / 171st pick / 2019
2,2019,Deebo Samuel,WR,23,9,South Carolina,College Stats,11-May,214,4.48,39,15,122,7.03,4.14,San Francisco 49ers / 2nd / 36th pick / 2019
3,2019,Riley Ridley,WR,22,1,Georgia,College Stats,1-Jun,199,4.58,30.5,13,124,7.22,4.28,Chicago Bears / 4th / 126th pick / 2019
4,2019,Hunter Renfrow,WR,23,4,Clemson,College Stats,10-May,184,4.59,35,7,116,6.8,4.19,Oakland Raiders / 5th / 149th pick / 2019
5,2019,D.K. Metcalf,WR,21,8,Mississippi,College Stats,3-Jun,228,4.33,40.5,27,134,7.38,4.5,Seattle Seahawks / 2nd / 64th pick / 2019
6,2019,Terry McLaurin,WR,23,7,Ohio State,College Stats,Jun-00,208,4.35,37.5,18,125,7.01,4.15,Washington Redskins / 3rd / 76th pick / 2019
7,2019,Bisi Johnson,WR,21,3,Colorado State,College Stats,Jun-00,204,4.51,38,14,124,6.88,4.16,Minnesota Vikings / 7th / 247th pick / 2019
8,2019,Keesean Johnson,WR,22,2,Fresno State,College Stats,1-Jun,201,4.6,30,14,117,7.28,4.23,Arizona Cardinals / 6th / 174th pick / 2019
9,2019,Diontae Johnson,WR,22,6,Toledo,College Stats,10-May,183,4.53,33.5,15,123,7.09,4.45,Pittsburgh Steelers / 3rd / 66th pick / 2019
10,2019,Anthony Johnson,WR,,0,Buffalo,College Stats,2-Jun,209,,32.5,18,122,7.12,,
11,2019,Gary Jennings,WR,21,0,West Virginia,College Stats,1-Jun,214,4.42,37,20,127,7.32,4.15,Seattle Seahawks / 4th / 120th pick / 2019
12,2019,Andy Isabella,WR,22,2,Massachusetts,College Stats,9-May,188,4.31,36.5,15,121,6.95,4.15,Arizona Cardinals / 2nd / 62nd pick / 2019
13,2019,N'Keal Harry,WR,21,1,Arizona State,College Stats,2-Jun,228,4.53,38.5,27,122,,,New England Patriots / 1st / 32nd pick / 2019
14,2019,Kelvin Harmon,WR,22,3,North Carolina State,College Stats,2-Jun,221,4.6,32.5,18,117,7.15,4.32,Washington Redskins / 6th / 206th pick / 2019
15,2019,Mecole Hardman,WR,20,7,Georgia,College Stats,10-May,187,4.33,36.5,17,119,,,Kansas City Chiefs / 2nd / 56th pick / 2019
16,2019,Travis Fulgham,WR,23,0,Old Dominion,College Stats,2-Jun,215,4.58,36.5,15,126,,,Detroit Lions / 6th / 184th pick / 2019
17,2019,Parris Campbell,WR,21,1,Ohio State,College Stats,Jun-00,205,4.31,40,11,135,,4.03,Indianapolis Colts / 2nd / 59th pick / 2019
18,2019,Marquise Brown,WR,21,8,Oklahoma,College Stats,9-May,166,,,,,,,Baltimore Ravens / 1st / 25th pick / 2019
19,2019,A.J. Brown,WR,21,10,Mississippi,College Stats,Jun-00,226,4.49,36.5,19,120,,,Tennessee Titans / 2nd / 51st pick / 2019
20,2019,Miles Boykin,WR,22,3,Notre Dame,College Stats,4-Jun,220,4.42,43.5,12,140,6.77,4.07,Baltimore Ravens / 3rd / 93rd pick / 2019
21,2019,J.J. Arcega-Whiteside,WR,22,1,Stanford,College Stats,2-Jun,225,,,,,,,Philadelphia Eagles / 2nd / 57th pick / 2019
22,2018,Javon Wims,WR,23,1,Georgia,College Stats,3-Jun,215,4.53,33.5,,113,7,,Chicago Bears / 7th / 224th pick / 2018
23,2018,Cedrick Wilson,WR,22,0,Boise State,College Stats,2-Jun,197,4.55,37,9,121,6.89,4.23,Dallas Cowboys / 6th / 208th pick / 2018
24,2018,James Washington,WR,21,8,Oklahoma State,College Stats,11-May,213,4.54,34.5,14,120,7.11,4.32,Pittsburgh Steelers / 2nd / 60th pick / 2018
25,2018,Marquez Valdes-Scantling,WR,23,8,South Florida,College Stats,4-Jun,206,4.37,30.5,15,124,,,Green Bay Packers / 5th / 174th pick / 2018
26,2018,Auden Tate,WR,21,4,Florida State,College Stats,5-Jun,228,4.68,31,,112,,,Cincinnati Bengals / 7th / 253rd pick / 2018
27,2018,Courtland Sutton,WR,22,14,SMU,College Stats,3-Jun,218,4.54,35.5,18,124,6.57,4.11,Denver Broncos / 2nd / 40th pick / 2018
28,2018,Equanimeous St. brown,WR,21,2,Notre Dame,College Stats,5-Jun,214,4.48,,20,,,,Green Bay Packers / 6th / 207th pick / 2018
29,2018,Jaleel Scott,WR,23,0,New Mexico State,College Stats,5-Jun,218,4.56,34.5,16,124,7.2,4.4,Baltimore Ravens / 4th / 132nd pick / 2018
30,2018,Calvin Ridley,WR,23,14,Alabama,College Stats,Jun-00,189,4.43,31,15,110,6.88,4.41,Atlanta Falcons / 1st / 26th pick / 2018
31,2018,Trey Quinn,WR,22,2,SMU,College Stats,11-May,203,4.55,33.5,17,116,6.91,4.19,Washington Redskins / 7th / 256th pick / 2018
32,2018,Byron Pringle,WR,24,2,Kansas State,College Stats,1-Jun,203,4.46,33.5,15,120,6.87,4.4,
33,2018,Cam Phillips,WR,22,0,Virginia Tech,College Stats,Jun-00,201,,,,,,,
34,2018,Dante Pettis,WR,22,4,Washington,College Stats,Jun-00,186,,,,,,,San Francisco 49ers / 2nd / 44th pick / 2018
35,2018,D.J. Moore,WR,20,16,Maryland,College Stats,Jun-00,210,4.42,39.5,15,132,6.95,4.07,Carolina Panthers / 1st / 24th pick / 2018
36,2018,Anthony Miller,WR,23,9,Memphis,College Stats,11-May,201,,,22,,,,Chicago Bears / 2nd / 51st pick / 2018
37,2018,Ray-ray McCloud,WR,21,0,Clemson,College Stats,9-May,190,4.53,34.5,13,113,,,Buffalo Bills / 6th / 187th pick / 2018
38,2018,Allen Lazard,WR,22,4,Iowa State,College Stats,5-Jun,227,4.55,38,17,122,,,
39,2018,Christian Kirk,WR,21,11,Texas A&M,College Stats,10-May,201,4.47,35.5,20,115,7.09,4.45,Arizona Cardinals / 2nd / 47th pick / 2018
40,2018,Quadree Henderson,WR,21,0,Pittsburgh,College Stats,8-May,192,4.5,32.5,12,120,6.89,4.28,
41,2018,Daesean Hamilton,WR,22,4,Penn State,College Stats,1-Jun,203,,34.5,,118,6.84,4.15,Denver Broncos / 4th / 113th pick / 2018
42,2018,Michael Gallup,WR,21,13,Colorado State,College Stats,1-Jun,205,4.51,36,10,122,6.95,4.37,Dallas Cowboys / 3rd / 81st pick / 2018
43,2018,Keke Coutee,WR,21,5,Texas Tech,College Stats,10-May,181,4.43,34.5,14,113,6.93,4.15,Houston Texans / 4th / 103rd pick / 2018
44,2018,Antonio Callaway,WR,21,5,Florida,College Stats,11-May,200,4.41,34,,121,,,Cleveland Browns / 4th / 105th pick / 2018
45,2018,Deon Cain,WR,21,1,Clemson,College Stats,2-Jun,202,4.43,33.5,11,115,6.71,4.37,Indianapolis Colts / 6th / 185th pick / 2018
46,2018,Deontay Burnett,WR,20,1,USC,College Stats,Jun-00,186,,,,,,,
47,2018,Braxton Berrios,WR,22,1,Miami (FL),College Stats,9-May,184,,,11,,,,New England Patriots / 6th / 210th pick / 2018
48,2018,Marcell Ateman,WR,23,2,Oklahoma State,College Stats,4-Jun,216,4.62,34,13,121,7.07,4.25,Oakland Raiders / 7th / 228th pick / 2018
49,2017,Jesus Wilson,WR,22,0,Florida State,College Stats,9-May,189,4.57,,10,119,,4.57,
50,2017,Mike Williams,WR,22,15,Clemson,College Stats,4-Jun,218,,32.5,15,121,,,Los Angeles Chargers / 1st / 7th pick / 2017
51,2017,Dede Westbrook,WR,23,14,Oklahoma,College Stats,Jun-00,178,,,,,,,Jacksonville Jaguars / 4th / 110th pick / 2017
52,2017,Greg Ward Jr.,WR,21,2,Houston,College Stats,11-May,186,,,10,,,,
53,2017,Trent Taylor,WR,22,5,Louisiana Tech,College Stats,8-May,181,4.63,33,13,117,6.74,4.01,San Francisco 49ers / 5th / 177th pick / 2017
54,2017,Taywan Taylor,WR,22,6,Western Kentucky,College Stats,11-May,203,4.5,33.5,13,132,6.57,4.21,Tennessee Titans / 3rd / 72nd pick / 2017
55,2017,Ryan Switzer,WR,22,3,North Carolina,College Stats,8-May,181,4.51,32,11,116,6.77,4,Dallas Cowboys / 4th / 133rd pick / 2017
56,2017,ArDarius Stewart,WR,23,1,Alabama,College Stats,11-May,204,4.49,34,,124,,,New York Jets / 3rd / 79th pick / 2017
57,2017,JuJu Smith-Schuster,WR,20,25,USC,College Stats,1-Jun,215,4.54,32.5,15,120,,,Pittsburgh Steelers / 2nd / 62nd pick / 2017
58,2017,Ricky Seals-Jones,WR,21,5,Texas A&M,College Stats,5-Jun,243,4.69,28,17,121,7.46,4.33,
59,2017,Curtis Samuel,WR,20,12,Ohio State,College Stats,11-May,196,4.31,37,18,119,7.09,4.33,Carolina Panthers / 2nd / 40th pick / 2017
60,2017,Travis Rudolph,WR,21,1,Florida State,College Stats,Jun-00,189,4.65,31.5,12,114,6.93,4.46,
61,2017,John Ross,WR,22,5,Washington,College Stats,11-May,188,4.22,37,,133,,,Cincinnati Bengals / 1st / 9th pick / 2017
62,2017,Josh Reynolds,WR,22,8,Texas A&M,College Stats,3-Jun,194,4.52,37,,124,6.83,4.13,Los Angeles Rams / 4th / 117th pick / 2017
63,2017,Zach Pascal,WR,22,9,Old Dominion,College Stats,2-Jun,219,4.55,36,14,126,7.11,4.29,
64,2017,Isaiah McKenzie,WR,21,4,Georgia,College Stats,7-May,173,4.42,36,11,123,6.64,4.15,Denver Broncos / 5th / 172nd pick / 2017
65,2017,Josh Malone,WR,20,1,Tennessee,College Stats,3-Jun,208,4.4,30.5,10,121,7.05,4.19,Cincinnati Bengals / 4th / 128th pick / 2017
66,2017,Cooper Kupp,WR,23,24,East. Washington,,2-Jun,204,4.62,31,,116,6.75,4.08,Los Angeles Rams / 3rd / 69th pick / 2017
