Rk,Year,Player,Pos,Age,AV,School,College,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
1,2010,Tim Tebow,QB,22,12,Florida,College Stats,3-Jun,236,4.71,38.5,,115,6.66,4.17,Denver Broncos / 1st / 25th pick / 2010
2,2010,John Skelton,QB,21,4,Fordham,,5-Jun,243,4.85,33.5,,108,7.17,4.33,Arizona Cardinals / 5th / 155th pick / 2010
3,2010,Zac Robinson,QB,23,0,Oklahoma State,College Stats,2-Jun,214,4.68,35,,110,7.24,4.4,New England Patriots / 7th / 250th pick / 2010
4,2010,Tony Pike,QB,23,0,Cincinnati,College Stats,6-Jun,223,4.9,28.5,,108,7.06,4.53,Carolina Panthers / 6th / 204th pick / 2010
5,2010,Colt McCoy,QB,23,14,Texas,College Stats,1-Jun,216,4.79,,,114,,,Cleveland Browns / 3rd / 85th pick / 2010
6,2010,Thaddeus Lewis,QB,25,4,Duke,College Stats,Jun-00,215,4.84,28,,107,,,
7,2010,Mike Kafka,QB,22,0,Northwestern,College Stats,3-Jun,225,4.93,32,,110,6.96,4.37,Philadelphia Eagles / 4th / 122nd pick / 2010
8,2010,Max Hall,QB,24,1,BYU,College Stats,1-Jun,209,4.84,32,,102,7.07,4.35,
9,2010,Jimmy Clausen,QB,22,3,Notre Dame,College Stats,3-Jun,222,4.76,,,,,,Carolina Panthers / 2nd / 48th pick / 2010
10,2010,Levi Brown,QB,22,0,Troy,College Stats,3-Jun,229,4.93,31.5,20,106,7.07,4.43,Buffalo Bills / 7th / 209th pick / 2010
11,2010,Sam Bradford,QB,22,49,Oklahoma,College Stats,4-Jun,236,4.79,,,,,,St. Louis Rams / 1st / 1st pick / 2010
12,2009,John Parker Wilson,QB,23,0,Alabama,College Stats,1-Jun,219,4.75,29.5,,105,7.53,4.59,
13,2009,Pat White,QB,23,1,West Virginia,College Stats,Jun-00,197,4.55,35,,117,7.06,4.42,Miami Dolphins / 2nd / 44th pick / 2009
14,2009,Matthew Stafford,QB,21,118,Georgia,College Stats,2-Jun,225,4.81,30.5,,107,7.06,4.47,Detroit Lions / 1st / 1st pick / 2009
15,2009,Mark Sanchez,QB,22,38,USC,College Stats,2-Jun,227,4.93,32.5,,116,7.06,4.21,New York Jets / 1st / 5th pick / 2009
16,2009,Curtis Painter,QB,23,2,Purdue,College Stats,3-Jun,225,4.87,29,,102,7,4.48,Indianapolis Colts / 6th / 201st pick / 2009
