Rk,Year,Player,Pos,Age,AV,School,College,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
1,2004,Kevin Youngblood,WR,23,0,Clemson,College Stats,4-Jun,213,4.64,34,,,,,
2,2004,Rashaun Woods,WR,23,1,Oklahoma State,College Stats,2-Jun,202,4.47,39,,125,6.93,3.97,San Francisco 49ers / 1st / 31st pick / 2004
3,2004,George Wilson,WR,22,29,Arkansas,College Stats,Jun-00,213,4.63,35,,120,7.07,3.98,
4,2004,Roy Williams,WR,22,49,Texas,College Stats,2-Jun,212,4.48,,,,,,Detroit Lions / 1st / 7th pick / 2004
5,2004,Reggie Williams,WR,20,25,Washington,College Stats,4-Jun,229,4.56,,,,,,Jacksonville Jaguars / 1st / 9th pick / 2004
6,2004,Ernest Wilford,WR,25,23,Virginia Tech,College Stats,4-Jun,226,4.79,40.5,,130,,4.17,Jacksonville Jaguars / 4th / 120th pick / 2004
7,2004,Darius Watts,WR,22,4,Marshall,College Stats,1-Jun,188,4.5,,,,,,Denver Broncos / 2nd / 54th pick / 2004
8,2004,Andrae Thurman,WR,23,1,Arizona,College Stats,11-May,192,4.54,34.5,,121,7.31,4.3,
9,2004,Sloan Thomas,WR,22,0,Texas,College Stats,1-Jun,203,4.5,,,,,,Houston Texans / 7th / 211th pick / 2004
10,2004,Jamaar Taylor,WR,23,1,Texas A&M,College Stats,1-Jun,197,4.46,,,,,,New York Giants / 6th / 168th pick / 2004
11,2004,Kendrick Starling,WR,24,0,San Jose State,College Stats,1-Jun,193,4.49,31.5,,119,6.88,3.87,
12,2004,John Standeford,WR,21,2,Purdue,College Stats,3-Jun,197,4.6,32.5,,113,6.9,4.08,
13,2004,Jonathan Smith,WR,22,2,Georgia Tech,College Stats,10-May,194,4.78,32.5,,114,,4.35,Buffalo Bills / 7th / 214th pick / 2004
14,2004,P.K. Sam,WR,20,0,Florida State,College Stats,3-Jun,210,4.54,34.5,,,7.04,,New England Patriots / 5th / 164th pick / 2004
15,2004,Samie Parker,WR,22,14,Oregon,College Stats,10-May,179,4.39,36,,,,,Kansas City Chiefs / 4th / 105th pick / 2004
16,2004,Johnnie Morant,WR,22,0,Syracuse,College Stats,4-Jun,229,4.51,41,,130,7.34,4.22,Oakland Raiders / 5th / 134th pick / 2004
17,2004,Clarence Moore,WR,21,2,Northern Arizona,,6-Jun,211,4.55,34,,122,6.84,4.16,Baltimore Ravens / 6th / 199th pick / 2004
18,2004,Maurice Mann,WR,21,0,Nevada,College Stats,1-Jun,191,4.57,34,,118,,,Cincinnati Bengals / 5th / 149th pick / 2004
19,2004,Triandos Luke,WR,22,0,Alabama,College Stats,11-May,199,4.51,38,,124,7.06,4.17,Denver Broncos / 6th / 171st pick / 2004
20,2004,Ryan Krause,WR,22,1,Nebraska-Omaha,,2-Jun,244,4.6,33.5,18,119,6.78,4.16,San Diego Chargers / 6th / 169th pick / 2004
21,2004,Kelvin Kight,WR,21,0,Florida,College Stats,Jun-00,213,4.56,34,,109,7.18,4.24,
22,2004,Michael Jenkins,WR,21,46,Ohio State,College Stats,4-Jun,218,4.4,,,,,,Atlanta Falcons / 1st / 29th pick / 2004
23,2004,Justin Jenkins,WR,23,0,Mississippi State,College Stats,11-May,213,4.6,35,,123,7.47,4.16,
24,2004,Devery Henderson,WR,21,41,LSU,College Stats,11-May,198,4.41,,,,,,New Orleans Saints / 2nd / 50th pick / 2004
25,2004,Derrick Hamilton,WR,22,0,Clemson,College Stats,3-Jun,196,4.54,,,,,,San Francisco 49ers / 3rd / 77th pick / 2004
26,2004,D.J. Hackett,WR,22,15,Colorado,College Stats,2-Jun,199,4.53,41,,131,6.79,4.08,Seattle Seahawks / 5th / 157th pick / 2004
