Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt▼,PPR,DKPt,FDPt,VBD,PosRank,OvRank
1,LaDainian Tomlinson*+,SDG,RB,27,16,16,2,3,20,2,0,348,1815,5.22,28,80,56,508,9.07,3,2,1,31,,,427,481.1,488.1,453.1,269,1,1
2,Larry Johnson*+,KAN,RB,27,16,16,0,1,0,0,0,416,1789,4.3,17,66,41,410,10,2,2,2,19,,,334,370.9,378.9,350.4,176,2,2
3,Steven Jackson*,STL,RB,23,16,16,0,0,0,0,0,346,1528,4.42,13,110,90,806,8.96,3,4,2,16,,,329,415.4,423.4,370.4,171,3,3
4,Peyton Manning*,IND,QB,30,16,16,362,557,4397,31,9,23,36,1.57,4,0,0,0,,0,2,1,4,,2,313,311.5,324.5,320.5,122,1,4
5,Frank Gore*,SFO,RB,23,16,16,0,0,0,0,0,312,1695,5.43,8,86,61,485,7.95,1,6,5,9,,,272,323,334,292.5,114,4,5
6,Michael Vick,ATL,QB,26,16,16,204,388,2474,20,13,123,1039,8.45,2,1,1,1,1,0,9,3,2,,,269,264,286,276.5,77,2,11
7,Willie Parker*,PIT,RB,26,16,16,0,0,0,0,0,337,1494,4.43,13,42,31,222,7.16,3,7,5,16,,,268,288.6,299.6,273.1,109,5,6
8,Drew Brees*+,NOR,QB,27,16,16,356,554,4418,26,11,42,32,0.76,0,0,0,0,,0,8,3,0,,2,266,259.9,276.9,270.9,74,3,12
9,Brian Westbrook,PHI,RB,27,15,14,0,0,0,0,0,240,1217,5.07,7,105,77,699,9.08,4,2,2,11,,,258,330.6,338.6,292.1,99,6,7
10,Marc Bulger*,STL,QB,29,16,16,370,588,4301,24,8,18,44,2.44,0,0,0,0,,0,6,3,0,,1,258,252.4,266.4,260.4,67,4,15
11,Carson Palmer*,CIN,QB,27,16,16,324,520,4035,28,13,26,37,1.42,0,0,0,0,,0,15,7,0,,,251,237.1,260.1,250.1,59,5,21
12,Tiki Barber*,NYG,RB,31,16,16,0,0,0,0,0,327,1662,5.08,5,75,58,465,8.02,0,3,1,5,,,243,298.7,305.7,269.7,84,7,9
13,Jon Kitna,DET,QB,34,16,16,372,596,4208,21,22,34,156,4.59,2,0,0,0,,0,11,9,2,,,236,217.9,254.9,239.9,44,6,29
14,Maurice Jones-Drew,JAX,RB,21,16,1,0,0,0,0,0,166,941,5.67,13,62,46,436,9.48,2,1,1,16,,,228,277.7,284.7,254.7,69,8,14
15,Tom Brady,NWE,QB,29,16,16,319,516,3529,24,12,49,102,2.08,0,0,0,0,,0,12,4,0,,2,227,219.4,241.4,231.4,36,7,33
16,Rudi Johnson,CIN,RB,27,16,15,0,0,0,0,0,341,1309,3.84,12,31,23,124,5.39,0,6,2,12,,,215,234.3,242.3,222.8,57,9,25
17,Philip Rivers*,SDG,QB,25,16,16,284,460,3388,22,9,48,49,1.02,0,0,0,0,,0,8,2,0,,1,212,208.4,222.4,217.4,21,8,51
18,Marvin Harrison*+,IND,WR,34,16,16,0,0,0,0,0,0,0,,0,148,95,1366,14.38,12,1,1,12,,,211,301.6,305.6,254.1,93,1,8
19,Vince Young*,TEN,QB,23,15,13,184,357,2199,12,13,83,552,6.65,7,0,0,0,,0,12,3,7,1,,209,203.2,225.2,216.2,17,9,55
20,Donovan McNabb,PHI,QB,30,10,10,180,316,2647,18,6,32,212,6.63,3,0,0,0,,0,3,2,3,,,205,201.1,215.1,207.1,13,10,63
21,Brett Favre,GNB,QB,37,16,16,343,613,3885,18,18,23,29,1.26,1,0,0,0,,0,8,8,1,,,200,184.3,213.3,202.3,8,11,68
22,Terrell Owens,DAL,WR,33,16,15,0,0,0,0,0,0,0,,0,150,85,1180,13.88,13,0,,13,1,,198,283,286,240.5,80,2,10
23,Eli Manning,NYG,QB,25,16,16,301,522,3244,24,18,25,21,0.84,0,0,0,0,,0,9,2,0,,,192,187.9,210.9,205.9,,12,76
24,Ladell Betts,WAS,RB,27,16,9,0,0,0,0,0,245,1154,4.71,4,64,53,445,8.4,1,6,3,5,,,190,236.9,245.9,210.4,32,10,35
25,J.P. Losman,BUF,QB,25,16,16,268,429,3051,19,14,38,140,3.68,1,0,0,0,,0,13,7,1,,,190,176,203,190,,13,
26,Joseph Addai,IND,RB,23,16,0,0,0,0,0,0,226,1081,4.78,7,50,40,325,8.13,1,2,1,8,,,189,226.6,233.6,206.6,30,11,38
27,Ben Roethlisberger,PIT,QB,24,15,15,280,469,3513,18,23,32,98,3.06,2,0,0,0,,0,5,2,2,,,188,184.3,212.3,207.3,,14,
28,Reggie Wayne*,IND,WR,28,16,16,0,0,0,0,0,0,0,,0,137,86,1310,15.23,9,1,,9,1,,187,273,276,230,69,3,13
29,Chester Taylor,MIN,RB,27,15,15,0,0,0,0,0,303,1216,4.01,6,51,42,288,6.86,0,5,3,6,,,186,222.4,231.4,201.4,28,12,43
30,Deuce McAllister,NOR,RB,28,15,13,0,0,0,0,0,244,1057,4.33,10,36,30,198,6.6,0,3,1,11,,,186,219.5,226.5,204.5,27,13,44
31,Chad Pennington,NYJ,QB,30,16,16,313,485,3352,17,16,35,109,3.11,0,1,0,7,,0,7,4,0,,,182,173.7,199.7,189.7,,15,
32,Chad Johnson*+,CIN,WR,28,16,16,0,0,0,0,0,6,24,4,0,152,87,1369,15.74,7,1,1,7,,,181,266.3,270.3,222.8,64,4,17
33,Marion Barber,DAL,RB,23,16,1,0,0,0,0,0,135,654,4.84,14,32,23,196,8.52,2,0,,16,,,181,204,210,192.5,23,14,49
34,Rex Grossman,CHI,QB,26,16,16,262,480,3193,23,20,24,2,0.08,0,1,1,-4,-4,0,8,5,0,,,180,170.5,198.5,190,,18,
35,Steve McNair,BAL,QB,33,16,16,295,468,3050,16,12,45,119,2.64,1,0,0,0,,0,7,1,1,,,180,177.9,196.9,189.9,,17,
36,Tony Romo*,DAL,QB,26,16,10,220,337,2903,19,13,34,102,3,0,0,0,0,,0,9,3,0,1,1,180,174.3,196.3,187.3,,16,
37,Donald Driver*,GNB,WR,31,16,16,0,0,0,0,0,7,16,2.29,0,173,92,1295,14.08,8,1,,8,,,179,271.1,274.1,225.1,62,5,18
38,Torry Holt*,STL,WR,30,16,16,0,0,0,0,0,0,0,,0,179,93,1188,12.77,10,2,1,10,,,179,269.8,273.8,223.3,61,6,19
39,Ahman Green,GNB,RB,29,14,14,0,0,0,0,0,266,1059,3.98,5,63,46,373,8.11,1,4,2,6,,,179,221.2,229.2,198.2,21,15,50
40,Jamal Lewis,BAL,RB,27,16,16,0,0,0,0,0,314,1132,3.61,9,26,18,115,6.39,0,4,2,9,,,179,192.7,200.7,183.7,20,16,53
41,Lee Evans,BUF,WR,25,16,15,0,1,0,0,0,0,0,,0,137,82,1292,15.76,8,1,1,8,,,177,257.2,261.2,216.2,60,7,20
42,Reggie Bush,NOR,WR,21,16,8,0,1,0,0,1,155,565,3.65,6,121,88,742,8.43,2,2,2,9,,,177,266.7,275.7,223.7,59,8,22
43,Steve Smith*,CAR,WR,27,14,14,0,0,0,0,0,8,61,7.63,1,139,83,1166,14.05,8,2,,9,,,177,259.7,262.7,218.2,59,9,23
