Rk,Year,Player,Pos,Age,AV,School,College,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
1,2014,Albert Wilson,WR,21,23,Georgia State,College Stats,9-May,202,4.43,37.5,10,123,7,4.21,
2,2014,Sammy Watkins,WR,20,40,Clemson,College Stats,1-Jun,211,4.43,34,16,126,6.95,4.34,Buffalo Bills / 1st / 4th pick / 2014
3,2014,L'Damian Washington,WR,22,,Missouri,College Stats,4-Jun,195,4.46,32,8,115,7.19,4.35,
4,2014,Devin Street,WR,22,1,Pittsburgh,College Stats,3-Jun,198,4.55,37,,124,6.89,4.01,Dallas Cowboys / 5th / 146th pick / 2014
5,2014,Josh Stewart,WR,21,,Oklahoma State,College Stats,10-May,178,4.69,35,11,117,7.1,4.33,
6,2014,Willie Snead,WR,21,28,Ball State,College Stats,11-May,195,4.62,33.5,11,113,7.19,4.39,
7,2014,Jalen Saunders,WR,21,0,Oklahoma,College Stats,9-May,165,4.44,34,,122,,,New York Jets / 4th / 104th pick / 2014
8,2014,Allen Robinson,WR,20,36,Penn State,College Stats,3-Jun,220,4.6,39,,127,7,4,Jacksonville Jaguars / 2nd / 61st pick / 2014
9,2014,Paul Richardson,WR,21,15,Colorado,College Stats,Jun-00,175,4.4,38,,124,7.09,,Seattle Seahawks / 2nd / 45th pick / 2014
10,2014,Tevin Reese,WR,23,,Baylor,College Stats,10-May,163,4.46,41,,132,6.63,4.18,San Diego Chargers / 7th / 240th pick / 2014
11,2014,Kevin Norwood,WR,24,1,Alabama,College Stats,2-Jun,198,4.48,33,8,121,6.68,4.32,Seattle Seahawks / 4th / 123rd pick / 2014
12,2014,Donte Moncrief,WR,20,20,Mississippi,College Stats,2-Jun,221,4.4,39.5,13,132,7.02,4.3,Indianapolis Colts / 3rd / 90th pick / 2014
13,2014,Jordan Matthews,WR,21,25,Vanderbilt,College Stats,3-Jun,212,4.46,35.5,21,120,6.95,4.18,Philadelphia Eagles / 2nd / 42nd pick / 2014
14,2014,Marcus Lucas,WR,22,,Missouri,College Stats,4-Jun,218,4.6,36,20,124,7.07,4.25,
15,2014,Marqise Lee,WR,22,18,USC,College Stats,Jun-00,192,4.52,38,,127,,4.01,Jacksonville Jaguars / 2nd / 39th pick / 2014
16,2014,Cody Latimer,WR,21,6,Indiana,College Stats,2-Jun,215,4.52,,23,,,,Denver Broncos / 2nd / 56th pick / 2014
17,2014,Jarvis Landry,WR,21,50,LSU,College Stats,11-May,205,4.65,28.5,12,110,,,Miami Dolphins / 2nd / 63rd pick / 2014
18,2014,Jeff Janis,WR,22,2,Saginaw Valley State,,3-Jun,219,4.42,37.5,20,123,6.64,3.98,Green Bay Packers / 7th / 236th pick / 2014
19,2014,Allen Hurns,WR,22,25,Miami (FL),College Stats,1-Jun,198,4.55,31,14,120,7.23,4.5,
20,2014,Josh Huff,WR,22,6,Oregon,College Stats,11-May,206,4.51,35.5,14,116,,,Philadelphia Eagles / 3rd / 86th pick / 2014
21,2014,Robert Herron,WR,21,0,Wyoming,College Stats,9-May,193,4.48,35.5,18,125,6.84,4.27,Tampa Bay Buccaneers / 6th / 185th pick / 2014
22,2014,Matt Hazel,WR,22,0,Coastal Carolina,,1-Jun,198,4.5,36.5,15,118,7.08,4.2,Miami Dolphins / 6th / 190th pick / 2014
23,2014,Ryan Grant,WR,23,10,Tulane,College Stats,Jun-00,199,4.64,35.5,8,119,6.68,4.11,Washington Redskins / 5th / 142nd pick / 2014
24,2014,Bennie Fowler,WR,22,8,Michigan State,College Stats,1-Jun,217,4.52,36,,126,7.06,4.18,
25,2014,Shaquelle Evans,WR,23,,UCLA,College Stats,1-Jun,213,4.51,34.5,13,122,7.07,4.21,New York Jets / 4th / 115th pick / 2014
26,2014,Mike Evans,WR,20,55,Texas A&M,College Stats,5-Jun,231,4.53,37,12,,7.08,4.26,Tampa Bay Buccaneers / 1st / 7th pick / 2014
27,2014,Quincy Enunwa,WR,21,13,Nebraska,College Stats,2-Jun,225,4.41,,19,,,,New York Jets / 6th / 209th pick / 2014
28,2014,Bruce Ellington,WR,22,7,South Carolina,College Stats,9-May,197,4.45,39.5,15,120,6.69,3.95,San Francisco 49ers / 4th / 106th pick / 2014
29,2014,Damian Copeland,WR,23,,Louisville,College Stats,11-May,184,4.5,40,12,120,6.53,3.9,
30,2014,Brandin Cooks,WR,20,56,Oregon State,College Stats,10-May,189,4.33,36,16,120,6.76,3.81,New Orleans Saints / 1st / 20th pick / 2014
31,2014,Kain Colter,WR,23,,Northwestern,College Stats,10-May,198,4.71,,,,,,
32,2014,Brandon Coleman,WR,21,10,Rutgers,College Stats,6-Jun,225,4.56,32.5,21,,7.33,4.51,
33,2014,Michael Campanaro,WR,23,4,Wake Forest,College Stats,9-May,192,4.46,39,20,122,6.77,4.01,Baltimore Ravens / 7th / 218th pick / 2014
34,2014,Trey Burton,WR,22,11,Florida,College Stats,2-Jun,224,4.62,30,,112,7.14,4.32,
35,2014,Isaiah Burse,WR,22,0,Fresno State,College Stats,10-May,188,4.58,31,16,115,6.74,3.94,
36,2014,Martavis Bryant,WR,22,20,Clemson,College Stats,4-Jun,211,4.42,39,16,124,7.18,4.15,Pittsburgh Steelers / 4th / 118th pick / 2014
37,2014,Corey Brown,WR,22,11,Ohio State,College Stats,11-May,178,4.51,33,,116,7.16,4.22,
38,2014,John Brown,WR,23,36,Pittsburg State,,10-May,179,4.34,36.5,,119,6.91,4.12,Arizona Cardinals / 3rd / 91st pick / 2014
39,2014,Chris Boyd,WR,22,,Vanderbilt,College Stats,4-Jun,206,4.73,,12,,,,
40,2014,Kelvin Benjamin,WR,23,23,Florida State,College Stats,5-Jun,240,4.61,32.5,13,119,7.33,4.39,Carolina Panthers / 1st / 28th pick / 2014
41,2014,"Odell Beckham, Jr.",WR,21,54,LSU,College Stats,11-May,198,4.38,38.5,7,122,6.69,3.94,New York Giants / 1st / 12th pick / 2014
42,2014,Dri Archer,WR,22,0,Kent State,College Stats,8-May,173,4.26,38,20,122,6.86,4.06,Pittsburgh Steelers / 3rd / 97th pick / 2014
43,2014,Davante Adams,WR,21,46,Fresno State,College Stats,1-Jun,212,4.56,39.5,14,123,6.82,4.3,Green Bay Packers / 2nd / 53rd pick / 2014
