Player,Score,Position
Pat McInally,50,P
Mike Mamula,49,LB
Ryan Fitzpatrick,48,QB
Greg McElroy,48,QB
Benjamin Watson,48,TE
Kevin Curtis,48,WR
Matt Birk,46,OL
Jason Maas,43,QB
Eric Decker,43,WR
Blaine Gabbert,42,QB
Drew Henson,42,QB
Pete Kendall,41,LB
Ryan Nassib,41,QB
Bruce Eugene,41,QB
Hugh Millen,41,QB
Calvin Johnson,41,WR
Carson Wentz,40,QB
Alex Smith,40,QB
Darrell Hackney,40,QB
Jeff Matthews,40,QB
Sean Mannion,40,QB
Nate Stanley,40,QB
Eli Manning,39,QB
Todd Husak,39,QB
Brian Griese,39,QB
Jeff Hartings,38,OL
Gabe Ikard,38,OL
Matthew Stafford,38,QB
Colin Kaepernick,38,QB
Matt Flynn,38,QB
Omar Jacobs,38,QB
Charlie Frye,38,QB
Craig Crenzel,38,QB
Scott Frost,38,QB
Kevin Hogan,38,QB
Scott Tolzien,38,QB
Josh Allen,37,QB
Akili Smith,37,QB
Tony Romo,37,QB
Andrew Luck,37,QB
Travis Lulay,37,QB
Marques Hagans,37,QB
Chuck Hartlieb,37,QB
Joey Bosa,37,DL
Cooper Kupp,37,WR
Jared Goff,36,QB
Sam Bradford,36,QB
Justin Holland,36,QB
Drew Bledsoe,36,QB
Jason Garrett,36,QB
Anthony Dilweg,36,QB
Jared Zabransky,36,QB
Jack Mewhort,36,OL
Larry Ogunjobi,36,DT
John Michaels,35,OL
Jonathan Ogden,35,OL
Aaron Rodgers,35,QB
Matt Leinart,35,QB
Christian Ponder,35,QB
Kellen Clemens,35,QB
Wes Pate,35,QB
Zak Kustok,35,QB
JT O'Sullivan,35,QB
Ryan lindley,35,QB
Travis Brown,35,QB
John Dutton,35,QB
Steve From,35,QB
Drew Stanton,35,QB
Zach Zenner,35,RB
Dare Ogunbowale,35,RB
Eric Saubert,35,TE
Jake Fromm,35,QB
Luke Kuechly,34,LB
Shayne Skov,34,LB
Craig Ochs,34,QB
Sam Keller,34,QB
Cory Pyles,34,QB
Ryan Tannehill,34,QB
Brad Kaaya,34,QB
Demaryius Thomas,34,WR
Marcus Williams,34,S
